ProductID,ProductName,UnitCost,Category,Brand
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2.55,Miscellaneous,"Carpenter, Burton and Oneal"
71053,WHITE METAL LANTERN,3.39,Miscellaneous,Francis-Mann
84406B,CREAM CUPID HEARTS COAT HANGER,2.75,Miscellaneous,Lara-Baker
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3.39,Miscellaneous,Diaz-Schaefer
84029E,RED WOOLLY HOTTIE WHITE HEART.,3.39,Miscellaneous,Flores LLC
22752,SET 7 BABUSHKA NESTING BOXES,7.65,Miscellaneous,Rubio and Sons
21730,GLASS STAR FROSTED T-LIGHT HOLDER,4.25,Miscellaneous,Heath-Andersen
22633,HAND WARMER UNION JACK,1.85,Miscellaneous,Pope PLC
22632,HAND WARMER RED POLKA DOT,1.85,Miscellaneous,Davis PLC
84879,ASSORTED COLOUR BIRD ORNAMENT,1.69,Miscellaneous,"Alvarez, Edwards and Aguirre"
22745,POPPY'S PLAYHOUSE BEDROOM ,2.1,Miscellaneous,"Perez, Bailey and Park"
22748,POPPY'S PLAYHOUSE KITCHEN,2.1,Miscellaneous,"Nicholson, Walker and Adams"
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3.75,Miscellaneous,Stevens Group
22310,IVORY KNITTED MUG COSY ,1.65,Miscellaneous,Garza-Brown
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,4.25,Miscellaneous,Johnson Group
22623,BOX OF VINTAGE JIGSAW BLOCKS ,4.95,Miscellaneous,"Santos, Huang and Woods"
22622,BOX OF VINTAGE ALPHABET BLOCKS,9.95,Miscellaneous,"Hernandez, Fleming and Jones"
21754,HOME BUILDING BLOCK WORD,5.95,Miscellaneous,"Hill, King and Mosley"
21755,LOVE BUILDING BLOCK WORD,5.95,Miscellaneous,Reeves Group
21777,RECIPE BOX WITH METAL HEART,7.95,Miscellaneous,Padilla-Bender
48187,DOORMAT NEW ENGLAND,7.95,Miscellaneous,Lewis-Hayes
22960,JAM MAKING SET WITH JARS,4.25,Miscellaneous,"Terry, Torres and Hall"
22913,RED COAT RACK PARIS FASHION,4.95,Miscellaneous,"Shah, Thomas and Ryan"
22912,YELLOW COAT RACK PARIS FASHION,4.95,Miscellaneous,"Matthews, Huffman and Arellano"
22914,BLUE COAT RACK PARIS FASHION,4.95,Miscellaneous,Joseph LLC
21756,BATH BUILDING BLOCK WORD,5.95,Miscellaneous,"Wilson, Madden and Austin"
22728,ALARM CLOCK BAKELIKE PINK,3.75,Miscellaneous,"Gutierrez, Martin and Lee"
22727,ALARM CLOCK BAKELIKE RED ,3.75,Miscellaneous,"Ayala, Mayo and Houston"
22726,ALARM CLOCK BAKELIKE GREEN,3.75,Miscellaneous,Banks Group
21724,PANDA AND BUNNIES STICKER SHEET,0.85,Miscellaneous,"Wilson, Davis and Shah"
21883,STARS GIFT TAPE ,0.65,Miscellaneous,"Haynes, Jennings and Ballard"
10002,INFLATABLE POLITICAL GLOBE ,0.85,Miscellaneous,Horton-Taylor
21791,VINTAGE HEADS AND TAILS CARD GAME ,1.25,Toys & Games,White-Collins
21035,SET/2 RED RETROSPOT TEA TOWELS ,2.95,Miscellaneous,Mann LLC
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,2.95,Miscellaneous,Davis-Green
22629,SPACEBOY LUNCH BOX ,1.95,Miscellaneous,Perez Ltd
22659,LUNCH BOX I LOVE LONDON,1.95,Miscellaneous,"Miller, Hayes and Davis"
22631,CIRCUS PARADE LUNCH BOX ,1.95,Miscellaneous,Smith-Obrien
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,0.85,Miscellaneous,"Brown, Brooks and Jackson"
21731,RED TOADSTOOL LED NIGHT LIGHT,1.65,Miscellaneous,"Smith, Murphy and Torres"
22900, SET 2 TEA TOWELS I LOVE LONDON ,2.95,Miscellaneous,"Elliott, Villarreal and Sosa"
21913,VINTAGE SEASIDE JIGSAW PUZZLES,3.75,Miscellaneous,Fields Group
22540,MINI JIGSAW CIRCUS PARADE ,0.42,Miscellaneous,Nichols LLC
22544,MINI JIGSAW SPACEBOY,0.42,Miscellaneous,Wiggins and Sons
22492,MINI PAINT SET VINTAGE ,0.65,Miscellaneous,"Brooks, Thompson and Alexander"
POST,POSTAGE,18.0,Miscellaneous,Romero Group
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2.55,Miscellaneous,Howell PLC
20679,EDWARDIAN PARASOL RED,4.95,Miscellaneous,Aguirre LLC
37370,RETRO COFFEE MUGS ASSORTED,1.06,Miscellaneous,Rodriguez-Vega
21871,SAVE THE PLANET MUG,1.06,Miscellaneous,"Stone, Mccullough and Jimenez"
21071,VINTAGE BILLBOARD DRINK ME MUG,1.06,Miscellaneous,"Moore, Austin and Rogers"
21068,VINTAGE BILLBOARD LOVE/HATE MUG,1.06,Miscellaneous,Mcfarland-Kelley
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4.95,Miscellaneous,Bowers-Raymond
82486,WOOD S/3 CABINET ANT WHITE FINISH,6.95,Miscellaneous,"Spencer, Morgan and Diaz"
82482,WOODEN PICTURE FRAME WHITE FINISH,2.1,Miscellaneous,Horne Group
82494L,WOODEN FRAME ANTIQUE WHITE ,2.55,Miscellaneous,Bauer Inc
21258,VICTORIAN SEWING BOX LARGE,10.95,Miscellaneous,Brown-Haas
22114,HOT WATER BOTTLE TEA AND SYMPATHY,3.45,Miscellaneous,Cochran-Browning
21733,RED HANGING HEART T-LIGHT HOLDER,2.55,Miscellaneous,"Webster, Garza and Abbott"
22386,JUMBO BAG PINK POLKADOT,1.95,Miscellaneous,Alvarado LLC
85099C,JUMBO  BAG BAROQUE BLACK WHITE,1.95,Miscellaneous,"Hart, Park and Boyd"
21033,JUMBO BAG CHARLIE AND LOLA TOYS,2.95,Toys & Games,"Day, Campbell and Taylor"
20723,STRAWBERRY CHARLOTTE BAG,0.85,Miscellaneous,Carter Ltd
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,3.75,Miscellaneous,Powell-Bennett
84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,3.75,Miscellaneous,Johnson-Garcia
21094,SET/6 RED SPOTTY PAPER PLATES,0.85,Miscellaneous,"Webb, Price and Jimenez"
20725,LUNCH BAG RED RETROSPOT,1.65,Miscellaneous,Townsend-Hale
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,2.55,Miscellaneous,"Guerra, Lopez and Davis"
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,2.55,Miscellaneous,"Adkins, Duncan and Thompson"
21212,PACK OF 72 RETROSPOT CAKE CASES,0.42,Miscellaneous,Stevenson-Ferguson
21975,PACK OF 60 DINOSAUR CAKE CASES,0.55,Miscellaneous,Rasmussen Group
21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.55,Miscellaneous,Bell PLC
84991,60 TEATIME FAIRY CAKE CASES,0.55,Miscellaneous,Colon Ltd
84519A,TOMATO CHARLIE+LOLA COASTER SET,2.95,Miscellaneous,Rodgers-Warren
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,1.25,Miscellaneous,Hicks Ltd
85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,0.38,Miscellaneous,"Williams, Lewis and Bryant"
21931,JUMBO STORAGE BAG SUKI,1.95,Miscellaneous,Stafford Ltd
21929,JUMBO BAG PINK VINTAGE PAISLEY,1.95,Miscellaneous,Jones-Harris
22961,JAM MAKING SET PRINTED,1.45,Miscellaneous,Duncan PLC
22139,RETROSPOT TEA SET CERAMIC 11 PC ,4.25,Miscellaneous,Williams Group
84854,GIRLY PINK TOOL SET,4.95,Miscellaneous,Mccullough Inc
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1.95,Miscellaneous,Smith-Allen
82567,"AIRLINE LOUNGE,METAL SIGN",2.1,Miscellaneous,Joyce-Benitez
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,1.25,Miscellaneous,Watson Group
22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,1.25,Miscellaneous,Moore PLC
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,1.25,Miscellaneous,Howell LLC
71270,PHOTO CLIP LINE,1.25,Miscellaneous,Becker-Mckinney
22262,FELT EGG COSY CHICKEN,0.85,Miscellaneous,"Collins, Bentley and Valdez"
22637,PIGGY BANK RETROSPOT ,2.55,Miscellaneous,Ortiz-Smith
21934,SKULL SHOULDER BAG,1.65,Miscellaneous,Bennett-Kirby
21169,YOU'RE CONFUSING ME METAL SIGN ,1.69,Miscellaneous,Montoya Group
21166,COOK WITH WINE METAL SIGN ,1.95,Miscellaneous,Greene-Sims
21175,GIN + TONIC DIET METAL SIGN,2.1,Miscellaneous,Williams-Wang
37444A,YELLOW BREAKFAST CUP AND SAUCER,2.95,Miscellaneous,Alvarado and Sons
37444C,PINK BREAKFAST CUP AND SAUCER ,2.95,Miscellaneous,Walsh Inc
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2.95,Miscellaneous,Barrera Group
22083,PAPER CHAIN KIT RETROSPOT,2.95,Miscellaneous,White LLC
84971S,SMALL HEART FLOWERS HOOK ,0.85,Miscellaneous,Harding LLC
47580,TEA TIME DES TEA COSY,2.55,Miscellaneous,"Espinoza, Neal and Mitchell"
22261,FELT EGG COSY WHITE RABBIT ,0.85,Miscellaneous,Mitchell-Hudson
84832,ZINC WILLIE WINKIE  CANDLE STICK,0.85,Miscellaneous,Juarez Group
22644,CERAMIC CHERRY CAKE MONEY BANK,1.45,Miscellaneous,Clements PLC
21533,RETROSPOT LARGE MILK JUG,4.95,Miscellaneous,Gonzalez-Holmes
21557,SET OF 6 FUNKY BEAKERS,2.95,Miscellaneous,Harrison Inc
15056BL,EDWARDIAN PARASOL BLACK,5.95,Miscellaneous,Perez Group
15056N,EDWARDIAN PARASOL NATURAL,5.95,Miscellaneous,Miller Ltd
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,1.45,Miscellaneous,Allen PLC
22176,BLUE OWL SOFT TOY,2.95,Toys & Games,Kim-Thomas
22438,BALLOON ART MAKE YOUR OWN FLOWERS,1.95,Miscellaneous,"Hammond, Bates and Gordon"
22778,GLASS CLOCHE SMALL,3.95,Miscellaneous,Mack Ltd
22719,GUMBALL MONOCHROME COAT RACK,1.06,Miscellaneous,Williams-Smith
21523,DOORMAT FANCY FONT HOME SWEET HOME,6.75,Miscellaneous,Peterson LLC
D,Discount,27.5,Miscellaneous,Bell and Sons
21912,VINTAGE SNAKES & LADDERS,3.75,Miscellaneous,"Brown, James and Arroyo"
21832,CHOCOLATE CALCULATOR,1.65,Miscellaneous,"Brown, White and Lee"
22379,RECYCLING BAG RETROSPOT ,2.1,Miscellaneous,"Griffith, Johnson and Alexander"
22381,TOY TIDY PINK POLKADOT,1.85,Toys & Games,Guzman LLC
22798,ANTIQUE GLASS DRESSING TABLE POT,2.95,Clothing,"Martin, Payne and Stewart"
22926,IVORY GIANT GARDEN THERMOMETER,5.95,Miscellaneous,Cohen Group
22839,3 TIER CAKE TIN GREEN AND CREAM,14.95,Miscellaneous,"Ferguson, Montgomery and Jackson"
22838,3 TIER CAKE TIN RED AND CREAM,14.95,Miscellaneous,Wood-Thomas
22783,SET 3 WICKER OVAL BASKETS W LIDS,16.95,Miscellaneous,Sutton Inc
