TimeID,FullDate,Day,Month,Quarter,Year,WeekOfYear
20241201,2024-12-01,1,12,4,2024,48
20241202,2024-12-02,2,12,4,2024,49
20241203,2024-12-03,3,12,4,2024,49
20241205,2024-12-05,5,12,4,2024,49
20241206,2024-12-06,6,12,4,2024,49
20241207,2024-12-07,7,12,4,2024,49
20241208,2024-12-08,8,12,4,2024,49
20241209,2024-12-09,9,12,4,2024,50
20241210,2024-12-10,10,12,4,2024,50
20241212,2024-12-12,12,12,4,2024,50
20241213,2024-12-13,13,12,4,2024,50
20241214,2024-12-14,14,12,4,2024,50
20241215,2024-12-15,15,12,4,2024,50
20241216,2024-12-16,16,12,4,2024,51
20241217,2024-12-17,17,12,4,2024,51
20241219,2024-12-19,19,12,4,2024,51
20241220,2024-12-20,20,12,4,2024,51
20241221,2024-12-21,21,12,4,2024,51
20241222,2024-12-22,22,12,4,2024,51
20241223,2024-12-23,23,12,4,2024,52
20250104,2025-01-04,4,1,1,2025,1
20250105,2025-01-05,5,1,1,2025,1
20250106,2025-01-06,6,1,1,2025,2
20250107,2025-01-07,7,1,1,2025,2
20250109,2025-01-09,9,1,1,2025,2
20250110,2025-01-10,10,1,1,2025,2
20250111,2025-01-11,11,1,1,2025,2
20250112,2025-01-12,12,1,1,2025,2
20250113,2025-01-13,13,1,1,2025,3
20250114,2025-01-14,14,1,1,2025,3
20250116,2025-01-16,16,1,1,2025,3
20250117,2025-01-17,17,1,1,2025,3
20250118,2025-01-18,18,1,1,2025,3
20250119,2025-01-19,19,1,1,2025,3
20250120,2025-01-20,20,1,1,2025,4
20250121,2025-01-21,21,1,1,2025,4
20250123,2025-01-23,23,1,1,2025,4
20250124,2025-01-24,24,1,1,2025,4
20250125,2025-01-25,25,1,1,2025,4
20250126,2025-01-26,26,1,1,2025,4
20250127,2025-01-27,27,1,1,2025,5
20250128,2025-01-28,28,1,1,2025,5
20250130,2025-01-30,30,1,1,2025,5
20250131,2025-01-31,31,1,1,2025,5
20250201,2025-02-01,1,2,1,2025,5
20250202,2025-02-02,2,2,1,2025,5
20250203,2025-02-03,3,2,1,2025,6
20250204,2025-02-04,4,2,1,2025,6
20250206,2025-02-06,6,2,1,2025,6
20250207,2025-02-07,7,2,1,2025,6
20250208,2025-02-08,8,2,1,2025,6
20250209,2025-02-09,9,2,1,2025,6
20250210,2025-02-10,10,2,1,2025,7
20250211,2025-02-11,11,2,1,2025,7
20250213,2025-02-13,13,2,1,2025,7
20250214,2025-02-14,14,2,1,2025,7
20250215,2025-02-15,15,2,1,2025,7
20250216,2025-02-16,16,2,1,2025,7
20250217,2025-02-17,17,2,1,2025,8
20250218,2025-02-18,18,2,1,2025,8
20250220,2025-02-20,20,2,1,2025,8
20250221,2025-02-21,21,2,1,2025,8
20250222,2025-02-22,22,2,1,2025,8
20250223,2025-02-23,23,2,1,2025,8
20250224,2025-02-24,24,2,1,2025,9
20250225,2025-02-25,25,2,1,2025,9
20250227,2025-02-27,27,2,1,2025,9
20250228,2025-02-28,28,2,1,2025,9
20250301,2025-03-01,1,3,1,2025,9
20250302,2025-03-02,2,3,1,2025,9
20250303,2025-03-03,3,3,1,2025,10
20250304,2025-03-04,4,3,1,2025,10
20250306,2025-03-06,6,3,1,2025,10
20250307,2025-03-07,7,3,1,2025,10
20250308,2025-03-08,8,3,1,2025,10
20250309,2025-03-09,9,3,1,2025,10
20250310,2025-03-10,10,3,1,2025,11
20250311,2025-03-11,11,3,1,2025,11
20250313,2025-03-13,13,3,1,2025,11
20250314,2025-03-14,14,3,1,2025,11
20250315,2025-03-15,15,3,1,2025,11
20250316,2025-03-16,16,3,1,2025,11
20250317,2025-03-17,17,3,1,2025,12
20250318,2025-03-18,18,3,1,2025,12
20250320,2025-03-20,20,3,1,2025,12
20250321,2025-03-21,21,3,1,2025,12
20250322,2025-03-22,22,3,1,2025,12
20250323,2025-03-23,23,3,1,2025,12
20250324,2025-03-24,24,3,1,2025,13
20250325,2025-03-25,25,3,1,2025,13
20250327,2025-03-27,27,3,1,2025,13
20250328,2025-03-28,28,3,1,2025,13
20250329,2025-03-29,29,3,1,2025,13
20250330,2025-03-30,30,3,1,2025,13
20250331,2025-03-31,31,3,1,2025,14
20250401,2025-04-01,1,4,2,2025,14
20250403,2025-04-03,3,4,2,2025,14
20250404,2025-04-04,4,4,2,2025,14
20250405,2025-04-05,5,4,2,2025,14
20250406,2025-04-06,6,4,2,2025,14
20250407,2025-04-07,7,4,2,2025,15
20250408,2025-04-08,8,4,2,2025,15
20250410,2025-04-10,10,4,2,2025,15
20250411,2025-04-11,11,4,2,2025,15
20250412,2025-04-12,12,4,2,2025,15
20250413,2025-04-13,13,4,2,2025,15
20250414,2025-04-14,14,4,2,2025,16
20250415,2025-04-15,15,4,2,2025,16
20250417,2025-04-17,17,4,2,2025,16
20250418,2025-04-18,18,4,2,2025,16
20250419,2025-04-19,19,4,2,2025,16
20250420,2025-04-20,20,4,2,2025,16
20250421,2025-04-21,21,4,2,2025,17
20250426,2025-04-26,26,4,2,2025,17
20250427,2025-04-27,27,4,2,2025,17
20250428,2025-04-28,28,4,2,2025,18
20250501,2025-05-01,1,5,2,2025,18
20250503,2025-05-03,3,5,2,2025,18
20250504,2025-05-04,4,5,2,2025,18
20250505,2025-05-05,5,5,2,2025,19
20250506,2025-05-06,6,5,2,2025,19
20250508,2025-05-08,8,5,2,2025,19
20250509,2025-05-09,9,5,2,2025,19
20250510,2025-05-10,10,5,2,2025,19
20250511,2025-05-11,11,5,2,2025,19
20250512,2025-05-12,12,5,2,2025,20
20250513,2025-05-13,13,5,2,2025,20
20250515,2025-05-15,15,5,2,2025,20
20250516,2025-05-16,16,5,2,2025,20
20250517,2025-05-17,17,5,2,2025,20
20250518,2025-05-18,18,5,2,2025,20
20250519,2025-05-19,19,5,2,2025,21
20250520,2025-05-20,20,5,2,2025,21
20250522,2025-05-22,22,5,2,2025,21
20250523,2025-05-23,23,5,2,2025,21
20250524,2025-05-24,24,5,2,2025,21
20250525,2025-05-25,25,5,2,2025,21
20250526,2025-05-26,26,5,2,2025,22
20250527,2025-05-27,27,5,2,2025,22
20250529,2025-05-29,29,5,2,2025,22
20250531,2025-05-31,31,5,2,2025,22
20250601,2025-06-01,1,6,2,2025,22
20250602,2025-06-02,2,6,2,2025,23
20250603,2025-06-03,3,6,2,2025,23
20250605,2025-06-05,5,6,2,2025,23
20250606,2025-06-06,6,6,2,2025,23
20250607,2025-06-07,7,6,2,2025,23
20250608,2025-06-08,8,6,2,2025,23
20250609,2025-06-09,9,6,2,2025,24
20250610,2025-06-10,10,6,2,2025,24
20250612,2025-06-12,12,6,2,2025,24
20250613,2025-06-13,13,6,2,2025,24
20250614,2025-06-14,14,6,2,2025,24
20250615,2025-06-15,15,6,2,2025,24
20250616,2025-06-16,16,6,2,2025,25
20250617,2025-06-17,17,6,2,2025,25
20250619,2025-06-19,19,6,2,2025,25
20250620,2025-06-20,20,6,2,2025,25
20250621,2025-06-21,21,6,2,2025,25
20250622,2025-06-22,22,6,2,2025,25
20250623,2025-06-23,23,6,2,2025,26
20250624,2025-06-24,24,6,2,2025,26
20250626,2025-06-26,26,6,2,2025,26
20250627,2025-06-27,27,6,2,2025,26
20250628,2025-06-28,28,6,2,2025,26
20250629,2025-06-29,29,6,2,2025,26
20250630,2025-06-30,30,6,2,2025,27
20250701,2025-07-01,1,7,3,2025,27
20250703,2025-07-03,3,7,3,2025,27
20250704,2025-07-04,4,7,3,2025,27
20250705,2025-07-05,5,7,3,2025,27
20250706,2025-07-06,6,7,3,2025,27
20250707,2025-07-07,7,7,3,2025,28
20250708,2025-07-08,8,7,3,2025,28
20250710,2025-07-10,10,7,3,2025,28
