ProductID,ProductName,UnitCost,Category,Brand
85123A,WHITE HANGING HEART T-LIGHT HOLDER,2.55,Miscellaneous,"Carter, Richardson and Frazier"
71053,WHITE METAL LANTERN,3.39,Miscellaneous,"Smith, Scott and Obrien"
84406B,CREAM CUPID HEARTS COAT HANGER,2.75,Miscellaneous,Ware-Sellers
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3.39,Miscellaneous,"Liu, Moss and Garcia"
84029E,RED WOOLLY HOTTIE WHITE HEART.,3.39,Miscellaneous,"Bailey, Salazar and Phillips"
22752,SET 7 BABUSHKA NESTING BOXES,7.65,Miscellaneous,Best-Johnson
21730,GLASS STAR FROSTED T-LIGHT HOLDER,4.25,Miscellaneous,"Hernandez, Velez and Peterson"
22633,HAND WARMER UNION JACK,1.85,Miscellaneous,Rodriguez Group
22632,HAND WARMER RED POLKA DOT,1.85,Miscellaneous,"Green, Romero and Ruiz"
84879,ASSORTED COLOUR BIRD ORNAMENT,1.69,Miscellaneous,"Rodriguez, Sims and Johnson"
22745,POPPY'S PLAYHOUSE BEDROOM ,2.1,Miscellaneous,Rogers-Jackson
22748,POPPY'S PLAYHOUSE KITCHEN,2.1,Miscellaneous,Chung-Smith
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,3.75,Miscellaneous,Elliott Ltd
22310,IVORY KNITTED MUG COSY ,1.65,Miscellaneous,King-Flores
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,4.25,Miscellaneous,"Conrad, Bryant and Lopez"
22623,BOX OF VINTAGE JIGSAW BLOCKS ,4.95,Miscellaneous,Jones-Gutierrez
22622,BOX OF VINTAGE ALPHABET BLOCKS,9.95,Miscellaneous,"Phillips, Martin and Mcgee"
21754,HOME BUILDING BLOCK WORD,5.95,Miscellaneous,"Valdez, Navarro and Fritz"
21755,LOVE BUILDING BLOCK WORD,5.95,Miscellaneous,"Serrano, Schaefer and Mitchell"
21777,RECIPE BOX WITH METAL HEART,7.95,Miscellaneous,Fisher-Bryant
48187,DOORMAT NEW ENGLAND,7.95,Miscellaneous,Short-Sutton
22960,JAM MAKING SET WITH JARS,4.25,Miscellaneous,Orozco PLC
22913,RED COAT RACK PARIS FASHION,4.95,Miscellaneous,Hernandez-Dickerson
22912,YELLOW COAT RACK PARIS FASHION,4.95,Miscellaneous,Roberson Group
22914,BLUE COAT RACK PARIS FASHION,4.95,Miscellaneous,Caldwell-Harper
21756,BATH BUILDING BLOCK WORD,5.95,Miscellaneous,Hansen-Ramirez
22728,ALARM CLOCK BAKELIKE PINK,3.75,Miscellaneous,"Shepherd, Smith and Moore"
22727,ALARM CLOCK BAKELIKE RED ,3.75,Miscellaneous,Carter-Sanders
22726,ALARM CLOCK BAKELIKE GREEN,3.75,Miscellaneous,"Gibson, Williams and Knight"
21724,PANDA AND BUNNIES STICKER SHEET,0.85,Miscellaneous,"Joyce, Rowe and Bender"
21883,STARS GIFT TAPE ,0.65,Miscellaneous,Horton-Frazier
10002,INFLATABLE POLITICAL GLOBE ,0.85,Miscellaneous,"Brown, Dominguez and Miranda"
21791,VINTAGE HEADS AND TAILS CARD GAME ,1.25,Toys & Games,Ramirez LLC
21035,SET/2 RED RETROSPOT TEA TOWELS ,2.95,Miscellaneous,Jones LLC
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,2.95,Miscellaneous,Sanchez-Richardson
22629,SPACEBOY LUNCH BOX ,1.95,Miscellaneous,Walker Group
22659,LUNCH BOX I LOVE LONDON,1.95,Miscellaneous,Montgomery and Sons
22631,CIRCUS PARADE LUNCH BOX ,1.95,Miscellaneous,Cain-Andrade
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,0.85,Miscellaneous,"Christian, Meyers and Lamb"
21731,RED TOADSTOOL LED NIGHT LIGHT,1.65,Miscellaneous,"Liu, Petty and Lawrence"
22900, SET 2 TEA TOWELS I LOVE LONDON ,2.95,Miscellaneous,Adams-Cohen
21913,VINTAGE SEASIDE JIGSAW PUZZLES,3.75,Miscellaneous,Floyd-Sheppard
22540,MINI JIGSAW CIRCUS PARADE ,0.42,Miscellaneous,Williams-Martinez
22544,MINI JIGSAW SPACEBOY,0.42,Miscellaneous,Knight-Kim
22492,MINI PAINT SET VINTAGE ,0.65,Miscellaneous,Clarke-Lewis
POST,POSTAGE,18.0,Miscellaneous,Lloyd Inc
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2.55,Miscellaneous,White-Anderson
20679,EDWARDIAN PARASOL RED,4.95,Miscellaneous,"Gill, Chan and Brown"
37370,RETRO COFFEE MUGS ASSORTED,1.06,Miscellaneous,Mathis-Martinez
21871,SAVE THE PLANET MUG,1.06,Miscellaneous,"Wilson, Snyder and Cochran"
21071,VINTAGE BILLBOARD DRINK ME MUG,1.06,Miscellaneous,Gallegos LLC
21068,VINTAGE BILLBOARD LOVE/HATE MUG,1.06,Miscellaneous,Scott Inc
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4.95,Miscellaneous,Hall PLC
82486,WOOD S/3 CABINET ANT WHITE FINISH,6.95,Miscellaneous,"Hebert, Bowman and Newman"
82482,WOODEN PICTURE FRAME WHITE FINISH,2.1,Miscellaneous,Reyes-Castro
82494L,WOODEN FRAME ANTIQUE WHITE ,2.55,Miscellaneous,Wolfe Ltd
21258,VICTORIAN SEWING BOX LARGE,10.95,Miscellaneous,"Schmidt, Wilson and Mack"
22114,HOT WATER BOTTLE TEA AND SYMPATHY,3.45,Miscellaneous,Hall Ltd
21733,RED HANGING HEART T-LIGHT HOLDER,2.55,Miscellaneous,Taylor-Clark
22386,JUMBO BAG PINK POLKADOT,1.95,Miscellaneous,"Vargas, Johnson and Mccarthy"
85099C,JUMBO  BAG BAROQUE BLACK WHITE,1.95,Miscellaneous,Hopkins-Young
21033,JUMBO BAG CHARLIE AND LOLA TOYS,2.95,Toys & Games,Taylor-Mcdonald
20723,STRAWBERRY CHARLOTTE BAG,0.85,Miscellaneous,Valenzuela Ltd
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,3.75,Miscellaneous,Williams Group
84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,3.75,Miscellaneous,Jacobs and Sons
21094,SET/6 RED SPOTTY PAPER PLATES,0.85,Miscellaneous,Sanchez Group
20725,LUNCH BAG RED RETROSPOT,1.65,Miscellaneous,"Carr, Lee and Massey"
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,2.55,Miscellaneous,Bradley Group
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,2.55,Miscellaneous,Robinson-Marshall
21212,PACK OF 72 RETROSPOT CAKE CASES,0.42,Miscellaneous,Hodges-Mays
21975,PACK OF 60 DINOSAUR CAKE CASES,0.55,Miscellaneous,"Yu, Herrera and Rangel"
21977,PACK OF 60 PINK PAISLEY CAKE CASES,0.55,Miscellaneous,Barron-Webster
84991,60 TEATIME FAIRY CAKE CASES,0.55,Miscellaneous,Long-Ramirez
84519A,TOMATO CHARLIE+LOLA COASTER SET,2.95,Miscellaneous,Thomas-Gonzalez
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,1.25,Miscellaneous,"Bates, Jarvis and Mccoy"
85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,0.38,Miscellaneous,Mata Inc
21931,JUMBO STORAGE BAG SUKI,1.95,Miscellaneous,Terrell-Henry
21929,JUMBO BAG PINK VINTAGE PAISLEY,1.95,Miscellaneous,"Owens, Gould and David"
22961,JAM MAKING SET PRINTED,1.45,Miscellaneous,Flores Ltd
22139,RETROSPOT TEA SET CERAMIC 11 PC ,4.25,Miscellaneous,"Johnson, Baker and Martinez"
