Country,StoreID,StoreName,Channel,City
United Kingdom,1,Online Store - United Kingdom,Online,Kimberleychester
France,2,Online Store - France,Online,Higginston
Australia,3,Online Store - Australia,Online,Deborahmouth
Netherlands,4,Online Store - Netherlands,Online,Berryhaven
Germany,5,Online Store - Germany,Online,South Lisachester
Norway,6,Online Store - Norway,Online,East Ashleytown
EIRE,7,Online Store - EIRE,Online,Coreychester
Switzerland,8,Online Store - Switzerland,Online,Lake Stephenview
Spain,9,Online Store - Spain,Online,Lorettastad
Poland,10,Online Store - Poland,Online,Teresabury
Portugal,11,Online Store - Portugal,Online,Seanton
Italy,12,Online Store - Italy,Online,Stephenview
Belgium,13,Online Store - Belgium,Online,East Angela
Lithuania,14,Online Store - Lithuania,Online,Joystad
Japan,15,Online Store - Japan,Online,Port Vincent
Iceland,16,Online Store - Iceland,Online,West Michaelside
Channel Islands,17,Online Store - Channel Islands,Online,West Maria
Denmark,18,Online Store - Denmark,Online,Lake Christopherfurt
Cyprus,19,Online Store - Cyprus,Online,Christyburgh
Sweden,20,Online Store - Sweden,Online,Harrisfort
Austria,21,Online Store - Austria,Online,Matthewmouth
Israel,22,Online Store - Israel,Online,Kariburgh
Finland,23,Online Store - Finland,Online,Allenborough
Bahrain,24,Online Store - Bahrain,Online,Reginaside
Greece,25,Online Store - Greece,Online,Katherineside
Hong Kong,26,Online Store - Hong Kong,Online,South Christine
Singapore,27,Online Store - Singapore,Online,East Clarencefurt
Lebanon,28,Online Store - Lebanon,Online,Dustinmouth
United Arab Emirates,29,Online Store - United Arab Emirates,Online,Randyfurt
Saudi Arabia,30,Online Store - Saudi Arabia,Online,Port Stephanieport
Czech Republic,31,Online Store - Czech Republic,Online,West Yvonnemouth
Canada,32,Online Store - Canada,Online,East Amyview
Unspecified,33,Online Store - Unspecified,Online,South Jeffreybury
Brazil,34,Online Store - Brazil,Online,East Scott
USA,35,Online Store - USA,Online,East Alexander
European Community,36,Online Store - European Community,Online,North Meredith
Malta,37,Online Store - Malta,Online,Masseychester
RSA,38,Online Store - RSA,Online,South Jacob
